Highest Offense Description,Highest Offense Code,Zip Code,frequency
AGG ASLT ENHANC STRANGL/SUFFOC,411,78681,1
WARRANT ARREST NON TRAFFIC,3442,78641,1
FORGERY- CERTIFICATE OF TITLE,1008,78728,1
PURCHASING PROSTITUTION,1604,78744,1
DISTRIB HARMFUL MATERIAL MINOR,2602,78751,1
APPLIC TO REVOKE PROBATION,4003,78737,1
CRASH/MANSLAUGHTER,102,78725,1
VIOL CITY ORDINANCE - SOUND,3207,78750,1
VIOL OF OBSTRUCTION ORDINANCE,3222,78751,1
TAMPERING WITH EVIDENCE,2903,78719,1
CONTEMPT OF COURT,3112,78735,1
HARASSMENT OF A PUBLIC SERVANT,2731,78728,1
TERRORISTIC THREAT,2704,78610,1
DISRUPTING MEETING/PROCESSION,2415,78758,1
KIDNAPPING,2800,78731,1
DRIVING WHILE INTOX / FELONY,2109,78652,1
PROWLER,3414,78652,1
AGG ASSAULT ON PUBLIC SERVANT,403,78725,1
CONTRIBUTE DELINQUENCY MINOR,3310,78703,1
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78681,1
FORGERY - OTHER,1099,78610,1
UCW LICENSE PREMISE,1501,78742,1
DISTURBANCE - OTHER,3401,78738,1
AGG KIDNAPPING,2801,78719,1
CRASH/INTOXICATION ASSAULT,2105,78736,1
DEL CONTROLLED SUB/SYN NARC,1805,78725,1
CRIMINAL TRESPASS/TRANSIENT,2721,78732,1
CRASH/INTOX MANSLAUGHTER,108,78613,1
RECKLESS CONDUCT,904,78746,1
DAMAGE CITY VEHICLE,3832,78665,1
POSS OF LIQ ON SCHOOL PROP,2207,78756,1
STALKING,2710,78737,1
INJURY TO CHILD,2011,78665,1
CRASH/MANSLAUGHTER,102,78749,1
VIOL CIVIL RIGHTS PRISONER,3115,78753,1
TRAFFICKING OF PERSONS,4199,78725,1
VOCO - ALCOHOL  CONSUMPTION,3211,78653,1
DOC CREATING NOXIOUS ODOR,2403,78745,1
DEL CONTROLLED SUB/NARCOTIC,1804,78641,1
DWI - DRUG RECOGNITION EXPERT,2103,78730,1
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78733,1
MANSLAUGHTER,102,78757,1
ILLEGAL LABELLING OF RECORDING,1011,78757,1
CRASH/MANSLAUGHTER,102,78741,1
FORGERY BY MAKING,1003,78742,1
VIOL CITY ORDINANCE -FIREWORK,3201,78754,1
DEADLY CONDUCT FAM/DATE VIOL,408,78725,1
DISRUPTIVE ACTS AT SCHOOLS,3303,78729,1
RENTAL CAR/FAIL TO RETURN,621,78617,1
CRED CARD ABUSE - EXPIR-CANCEL,1103,78736,1
BURGLARY NON RESIDENCE,502,78664,1
ARSON,800,78712,1
DEL MARIJUANA,1807,78757,1
SEXTING/TRANSMIT SEXUAL PHOTOS,2613,78735,1
DEL CONTROLLED SUB/SYN NARC,1805,78759,1
INTERFERE W PO SERVICE ANIMALS,3396,78721,1
RETALIATION,3104,78746,1
TERRORISTIC THREAT-MASS CASLTY,2704,78731,1
HINDERING APPREHENSION,2709,78703,1
VIOL OF COURT ORDER-NON EPO-PO,2008,78610,1
CONTRIBUTE DELINQUENCY MINOR,3310,78705,1
FALSE ID AS A PEACE OFFICER,2908,78741,1
DOMESTIC VIOLENCE/ALARM,3459,78752,1
SIT AND LIE ORDINANCE VIOL,3295,78721,1
TAMPERING WITH ID NUMBER,2719,78725,1
VIOL CITY ORDINANCE - SMOKING,3297,78730,1
ATTACK BY DOG,3435,78724,1
CONTROLLED SUB VIOL - OTHER,1814,78704,1
GAMBLING,1900,78719,1
INTERFERENCE PUBLIC DUTIES,3397,78613,1
SOLICITATION - BEGGING,2501,78730,1
WARRANT ARREST NON TRAFFIC,3442,78732,1
TAMPERING WITH WITNESS,3103,78704,1
ATT THEFT,611,78617,1
ATTACK BY DOG,3435,78704,1
EXPLOITATION OF CHILD/ELDERLY,4022,78734,1
FALSE STATEMENT -OBTAIN CREDIT,1105,78742,1
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78736,1
PIGEON DROP,1198,78721,1
PROMOTION OF PROSTITUTION,1601,78725,1
TAMPERING WITH WITNESS,3103,78746,1
POSS SYNTHETIC MARIJUANA,1825,78717,1
RECKLESS DAMAGE,1401,78737,1
VIOL CITY ORDINANCE -FIREWORK,3201,78729,1
FORGERY OF IDENTIFICATION,1004,78728,1
MONEY LAUNDERING,1301,78731,1
ATTACK BY DOG,3435,78753,1
AWOL,4202,78757,1
THEFT- APPROPRIATE STOLEN PROP,1300,78727,1
AGG ASSAULT ON PUBLIC SERVANT,403,78617,1
VIOL OF CAMPING ORDINANCE,3223,78751,1
POSS OF PRESCRIPTION FORM,1822,78759,1
CIVIL DISTURBANCE/DEMO,3402,78712,1
PURCHASING PROSTITUTION,1604,78746,1
DOC OFFENSIVE GESTURE,2402,78725,1
POSSESSION OF FORGED WRITING,1002,78746,1
TAKE WEAPON FRM POLICE OFFICER,409,78754,1
POSS OF GAMBLING PARAPHERNALIA,1905,78704,1
LITTERING,3216,78733,1
UNLAWFUL CARRY-LIC HOLDER,1507,78757,1
TRAFFICKING OF PERSONS,4199,78746,1
VOCO - ALCOHOL  CONSUMPTION,3211,78736,1
SECURING EXEC-DOC BY DECEPTION,1009,78758,1
UNLAWFUL INTERCEPTION,3398,78726,1
IDENTITY THEFT-TAX RETURNS,4027,78613,1
SECURING EXEC-DOC BY DECEPTION,1009,78741,1
DOC CREATING NOXIOUS ODOR,2403,78723,1
CRASH/INTOX MANSLAUGHTER,108,78742,1
CRASH/CRIM NEG HOMICIDE,104,78739,1
PROSTITUTION,1600,78735,1
CONTRIBUTE DELINQUENCY MINOR,3310,78737,1
SALE OF LIQ IN PROHIB AREA,2203,78759,1
INJ TO ELDERLY   FAM/DATE VIOL,2012,78742,1
UCW LICENSE PREMISE,1501,78759,1
MURDER,100,78728,1
AGG ASLT STRANGLE/SUFFOCATE,410,78737,1
CRIMINAL TRESPASS/HOTEL,2722,78613,1
SECURING EXEC-DOC BY DECEPTION,1009,78750,1
RIOT,2416,78746,1
THEFT BY EXTORTION,2718,78726,1
DISRUPTING MEETING/PROCESSION,2415,78702,1
OBTAIN CONTROLLED SUB BY FRAUD,1808,78752,1
VIOL CITY ORDINANCE - TITLE 10,3298,78758,1
TOBACCO VIOL - AGE 17,2608,78736,1
DANG DRUG VIOL - OTHER,1815,78727,1
AGG KIDNAPPING,2801,78750,1
VOCO SOLICITATION PROHIBIT,3296,78742,1
FRAUD FILING FINANCE STATEMENT,1010,78759,1
DAMAGE CITY VEHICLE,3832,78641,1
TAKE WEAPON FRM POLICE OFFICER,409,78725,1
POSS DANG DRUG,1810,78669,1
CHILD CUSTODY INTERFERE,2001,78712,1
ASSAULT OF A PREGNANT WOMAN,911,78704,1
VIOL CITY ORDINANCE -FIREWORK,3201,78717,1
IMPERSONATING PUBLIC SERVANT,2905,78725,1
THEFT BY EMBEZZLEMENT,1200,78747,1
VIOL OF PROTECTIVE ORDER,3009,78645,1
VOCO SOLICITATION PROHIBIT,3296,78719,1
PROMOTION OF PROSTITUTION,1601,78756,1
CRIMINAL TRESPASS/HOTEL,2722,78747,1
DEADLY CONDUCT FAM/DATE VIOL,408,78751,1
ASSAULT ON PEACE OFFICER,903,78717,1
VOCO SOLICITATION PROHIBIT,3296,78652,1
LIQUOR LAW VIOLATION/OTHER,2208,78725,1
POSS OF PROHIBITED WEAPON,1503,78725,1
CRED CARD ABUSE - EXPIR-CANCEL,1103,78739,1
TAKE WEAPON FRM POLICE OFFICER,409,78729,1
FAIL DISPLAY HANDGUN LICENSE,1506,78721,1
EVADING VEHICLE,2724,78739,1
FORGERY BY MAKING,1003,78712,1
RECKLESS CONDUCT,904,78756,1
HARASSMENT,2703,78612,1
SECURING EXEC-DOC BY DECEPTION,1009,78704,1
THEFT OF HEAVY EQUIPMENT,612,78613,1
AGG ASSAULT ON PUBLIC SERVANT,403,78722,1
ABANDONED REFRIGERATOR,3311,78704,1
DISRUPTIVE ACTS AT SCHOOLS,3303,78752,1
SALE OR PURCHASE OF CHILD,2004,78721,1
POSS OF GAMBLING EQUIPMENT,1904,78702,1
VIOL OF PROTECTIVE ORDER,3009,78734,1
MANF SYNTHETIC MARIJUANA,1827,78701,1
CRIMINAL SOLICITATION OF MINOR,3003,78735,1
BRIBERY,3102,78729,1
BRIBERY,3102,78754,1
PIGEON DROP,1198,78732,1
DWI 2ND,2102,78652,1
MISAPPLY FIDUCIARY PROP,1201,78726,1
CRIM NEG HOMICIDE/NON TRAFFIC,103,78751,1
AGG KIDNAPPING FAM VIO,2801,78750,1
SEXUAL COERCION,2614,78750,1
AGG ROBBERY BY ASSAULT,302,78730,1
EXPIRED-ATT OBT CONT SUB FRAUD,1809,78722,1
VIOL WATER SAFETY ACT,3724,78753,1
WARRANT ARREST NON TRAFFIC,3442,78634,1
CRED CARD ABUSE - EXPIR-CANCEL,1103,78729,1
THEFT BY EXTORTION,2718,78757,1
INHALANT ABUSE,1821,78652,1
POSS SYNTHETIC MARIJUANA,1825,78731,1
MURDER,100,78722,1
FALSE ALARM OR REPORT,2700,78736,1
EXPIRED-ATT AGG ROBBERY/WEAP,301,78660,1
SALE OF LIQ IN PROHIB AREA,2203,78701,1
DWI,2100,78642,1
FALSE STATEMENT -OBTAIN CREDIT,1105,78732,1
ASSAULT BY CONTACT,902,78733,1
AGG PERJURY,2901,78723,1
CRIMINAL TRESPASS/HOTEL,2722,78660,1
EXPIRED-SOLICITATION OF CHILD,1711,78748,1
SALE OR PURCHASE OF CHILD,2004,78746,1
FALSE REPORT TO CPS,2899,78704,1
POSSESSION OF FORGED WRITING,1002,78741,1
VIOL OF BOND CONDITIONS,3006,78664,1
VIOL CITY ORDINANCE - SOUND,3207,78724,1
DISRUPTIVE ACTS AT SCHOOLS,3303,78750,1
VIOL CITY ORDINANCE - SOUND,3207,78731,1
UNLAWFUL RESTRAINT,2805,78726,1
ESCAPE FROM CUSTODY,2711,78750,1
IMMIGRATION HOLD/ARREST,4200,78719,1
ATT BURGLARY NON RESIDENCE,503,78729,1
AGG ASSAULT,402,78621,1
DOC ABUSE OR THREAT,2404,78729,1
NUISANCE ABATEMENT,1824,78747,1
EXPIRED-ATT CAPITAL MURDER,401,78702,1
DISTRIB HARMFUL MATERIAL MINOR,2602,78747,1
UNLAWFUL CARRY-LIC HOLDER,1507,78746,1
VIOL OF OBSTRUCTION ORDINANCE,3222,78702,1
CONTRIBUTE DELINQUENCY MINOR,3310,78752,1
DOC UNREASONABLE NOISE,2405,78613,1
DOC FIGHTING,2406,78730,1
TAKE WEAPON FRM POLICE OFFICER,409,78742,1
DANG DRUG VIOL - OTHER,1815,78757,1
FEDERAL VIOL/OTHER,4205,78737,1
HARASSMENT ONLINE,2732,78712,1
MAKING TOBACCO AVAIL TO MINOR,2606,78613,1
ARSON WITH BODILY INJURY,407,78752,1
AGG KIDNAPPING FAM VIO,2801,78745,1
ILLUMIN AIRCRAFT INTENSE LIGHT,2099,78723,1
FAIL DISPLAY HANDGUN LICENSE,1506,78701,1
CRIMINAL TRESPASS/IN VEHICLE,2727,78731,1
CRASH/MANSLAUGHTER,102,78735,1
DESERTION,4203,78704,1
MURDER,100,78739,1
TRAFFICKING OF PERSONS,4199,78653,1
VIOL CITY ORDINANCE -FIREWORK,3201,78736,1
CAPITAL MURDER,101,78701,1
AGG PROMOTION OF PROSTITUTION,1602,78731,1
UNLAWFUL INTERCEPTION,3398,78757,1
SECURING EXEC-DOC BY DECEPTION,1009,78744,1
ABUSE OF 911,2735,78702,1
CONTROLLED SUB VIOL - OTHER,1814,78725,1
POSS/PROMO CHILD PORNOGRAPHY,2605,78653,1
UCW LICENSE PREMISE,1501,78722,1
DOC EXPOSURE,2411,78652,1
TOBACCO VIOL - AGE 17,2608,78717,1
VOCO SOLICITATION PROHIBIT,3296,78681,1
TAMPERING WITH CONSUMER PROD,907,78613,1
POSSESSION OF FORGED WRITING,1002,78752,1
POSS CONTROLLED SUB/OTHER,1802,78736,1
DUI - AGE 16 AND UNDER,2106,78757,1
IMMIGRATION HOLD/ARREST,4200,78747,1
BOATING WHILE INTOXICATED,2110,78724,1
CRIMINAL NONSUPPORT,2003,78701,1
ARSON,800,78730,1
ABUSE OF 911,2735,78722,1
GIFT TO PUBLIC SERVANT,3111,78704,1
FAMILY DISTURBANCE/PARENTAL,3458,78681,1
FORGERY BY MAKING,1003,78641,1
FORGERY BY ALTERATION,1001,78739,1
MISREP AGE BY MINOR,2210,78744,1
SIT AND LIE ORDINANCE VIOL,3295,78756,1
VIOL OF PARK CURFEW,3217,78681,1
CRED CARD ABUSE BY FORGERY,1005,78734,1
EXP-VIOL CITY ORDINANCE - TAXI,3209,78746,1
COMPELLING PROSTITUTION,1603,78748,1
MISUSE OF OFFICIAL INFO,3109,78731,1
VIOL WATER SAFETY ACT,3724,78701,1
VIOL OF CAMPING ORDINANCE,3223,78731,1
MANF CONTROLLED SUB- SYN NARC,1819,78729,1
POSS OF LIQ ON SCHOOL PROP,2207,78752,1
FORGERY AND PASSING,1000,76574,1
ATT ARSON,801,78753,1
VIOL STATE LAW - OTHER,3399,78664,1
MANF CONTROLLED SUB- SYN NARC,1819,78759,1
CAMPING IN PARK,3214,78733,1
DAMAGE CITY PROP,3817,78634,1
DEL CONTROLLED SUB/OTHER,1806,78729,1
CRIMINAL NONSUPPORT,2003,78741,1
BANK KITING,1104,78756,1
UNLAWFUL CARRY-LIC HOLDER,1507,78725,1
IMMIGRATION HOLD/ARREST,4200,78730,1
GIFT TO PUBLIC SERVANT,3111,78754,1
CRED CARD ABUSE - EXPIR-CANCEL,1103,78660,1
CRASH/MANSLAUGHTER,102,78730,1
BOMB THREAT,2701,78730,1
VIOL CITY ORDINANCE - TITLE 10,3298,78725,1
ARSON,800,78732,1
CRASH/MANSLAUGHTER,102,78748,1
ASSAULT OF PREGNANT WM-FAM/DAT,911,78750,1
DOC FIGHTING,2406,78733,1
COMPELLING PROSTITUTION,1603,78759,1
CRASH/NEGLIGENT HOMICIDE,106,78744,1
DISTRIB HARMFUL MATERIAL MINOR,2602,78717,1
INJ TO ELDERLY   FAM/DATE VIOL,2012,78719,1
POSSESSION OF FORGED WRITING,1002,78721,1
DOC FIGHTING,2406,78725,1
DEL MARIJUANA,1807,78725,1
HINDERING APPREHENSION,2709,78626,1
ASSAULT ON PUBLIC SERVANT,903,78733,1
PROTECTIVE ORDER,3829,78654,1
CONTRIBUTE DELINQUENCY MINOR,3310,78748,1
TOBACCO VIOL - AGE 17,2608,78731,1
EXPIRED-ATT OBT CONT SUB FRAUD,1809,78726,1
VIOL CITY ORDINANCE - AIRPORT,3299,78758,1
PAROLE VIOL,3113,78747,1
DANG DRUG VIOL - OTHER,1815,78754,1
ATT BURGLARY OF RESIDENCE,501,78736,1
GAMBLING,1900,78749,1
POSS SYNTHETIC MARIJUANA,1825,78735,1
POSS CONTROLLED SUB/NARCOTIC,1800,78733,1
PURCHASING PROSTITUTION,1604,78704,1
PUBLIC LEWDNESS,1705,78617,1
DOC ABUSE OR THREAT,2404,78739,1
ATT BURGLARY OF RESIDENCE,501,78754,1
VOCO SOLICITATION PROHIBIT,3296,78747,1
UNLAWFUL CARRY-LIC HOLDER,1507,78735,1
KIDNAPPING,2800,78617,1
KEEPING GAMBLING PLACE,1902,78741,1
EVADING / FOOT,2723,78620,1
TRADEMARK COUNTERFEITING,1111,78664,1
CONTRIBUTE DELINQUENCY MINOR,3310,78745,1
ASSAULT BY THREAT,901,0,1
STAY AWAY ORDER,3020,78701,1
KIDNAPPING FAM VIO,2800,78754,1
ABUSE OF OFFICIAL CAPACITY,3117,78722,1
MISUSE OF OFFICIAL INFO,3109,78702,1
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78719,1
BAIL JUMPING/FAIL TO APPEAR,2715,78745,1
FICTITIOUS NAME,3205,78705,1
POSS SYNTHETIC MARIJUANA,1825,78746,1
INTERFERENCE PUBLIC DUTIES,3397,78728,1
CONTEMPT OF COURT,3112,78723,1
FORGERY OF IDENTIFICATION,1004,78717,1
TAMPERING WITH CONSUMER PROD,907,78746,1
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78728,1
DISTRIB HARMFUL MATERIAL MINOR,2602,78730,1
DOC FIGHTING,2406,78742,1
INJURY TO ELDERLY PERSON - SBI,2012,78752,1
OBSCENE DISPLAY - DISTRIBUTION,2600,78756,1
DEL MARIJUANA,1807,78727,1
CRIMINAL SOLICITATION,3002,78756,1
CRED CARD ABUSE - EXPIR-CANCEL,1103,78722,1
SECURING EXEC-DOC BY DECEPTION,1009,78723,1
MISAPPLY FIDUCIARY PROP,1201,78744,1
POSS OF FIREARM BY FELON,1502,78730,1
TRADEMARK COUNTERFEITING,1111,78704,1
PERJURY,2900,78735,1
CRASH/CRIM NEG HOMICIDE,104,78744,1
SEXUAL COERCION,2614,78749,1
CRIMES AGAINST ELDERLY,4111,78747,1
THEFT BY FALSE PRETEXT/BUNCO,1102,78653,1
EXPIRED-INJURY CHILD - ELDERLY,2000,78754,1
TAMPERING WITH ID NUMBER,2719,78741,1
EXPLOSIVE ORDNANCE DISPOSAL,1505,78640,1
POSS CRIMINAL INSTRUMENT,2720,78721,1
KEEPING GAMBLING PLACE,1902,78752,1
DEL OF ALCOHOL TO MINOR,2206,78749,1
EXPIRED-EVADING ARREST,2708,78725,1
DOC ABUSE OR THREAT,2404,78736,1
UNLAWFUL CARRY-LIC HOLDER,1507,78681,1
BESTIALITY,8905,78702,1
INJURY TO ELDERLY PERSON,2012,78717,1
ARSON WITH BODILY INJURY,407,78744,1
DAMAGE CITY VEHICLE,3832,78613,1
TAMPERING WITH ID NUMBER,2719,78757,1
BOMB THREAT,2701,78747,1
TAMPERING WITH EVIDENCE,2903,78717,1
VIOL CITY ORDINANCE - OTHER,3299,78641,1
CRIMINAL SOLICITATION OF MINOR,3003,78617,1
AGG PROMOTION OF PROSTITUTION,1602,78722,1
VIOL OF PROTECTIVE ORDER,3009,0,1
OBTAIN CONTROLLED SUB BY FRAUD,1808,78724,1
DAMAGE CITY PROP,3817,78645,1
SECURING EXEC-DOC BY DECEPTION,1009,78721,1
VIOL OF CAMPING ORDINANCE,3223,78753,1
ASSAULT ON PEACE OFFICER,903,78725,1
DWI,2100,78612,1
UNLAWFUL INTERCEPTION,3398,78610,1
FALSE ALARM OR REPORT,2700,78730,1
INHALANT ABUSE,1821,78722,1
DOC ABUSE OR THREAT,2404,78726,1
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78613,1
AGG KIDNAPPING,2801,78745,1
THEFT-NO SUSPECT/FOLLOWUP,600,78653,1
DEL CONTROLLED SUB/NARCOTIC,1804,78737,1
HINDERING APPREHENSION,2709,78742,1
CAPITAL MURDER,101,78703,1
DOC CREATING NOXIOUS ODOR,2403,78741,1
TAMPERING WITH WITNESS,3103,78729,1
KIDNAPPING FAM VIO,2800,78727,1
TERRORISTIC THREAT-MASS CASLTY,2704,78730,1
FALSE REPORT TO CPS,2899,78730,1
UCW LICENSE PREMISE,1501,78754,1
CRIMINAL CONSPIRACY,3001,78724,1
VIOL CITY ORDINANCE - SOUND,3207,78747,1
CRASH/CRIM NEG HOMICIDE,104,78702,1
VIOL OF AGGRESSIVE CONFRONT,3221,78751,1
ARSON WITH BODILY INJURY,407,78723,1
PROWLER,3414,78742,1
INJ/CHILD FV (NO CARE/CUSTODY),2011,78652,1
POSS SYNTHETIC MARIJUANA,1825,78736,1
EXPIRED-ATT KIDNAPPING,2802,78746,1
ATT BURGLARY NON RESIDENCE,503,78754,1
SALE OF LIQ WITHOUT PERMIT,2202,78723,1
MANSLAUGHTER,102,78748,1
TAMPERING WITH WITNESS,3103,78753,1
AMPLIFIED MUSIC / VEHICLE,3215,78705,1
PERJURY,2900,78744,1
OBSCENITY,2601,78752,1
AIRPORT - CRIMINAL TRESPASS,2716,78723,1
PROSTITUTION,1600,78738,1
DISPOSAL OF SOLID WASTE,3312,78753,1
DEL CONTROLLED SUB/NARCOTIC,1804,78719,1
VIOL CITY ORDINANCE - CURFEW,3213,78712,1
POSS CONTROLLED SUB/NARCOTIC,1800,78645,1
VIOL TEMP EX PARTE  ORDER,3007,78731,1
THEFT BY EMBEZZLEMENT,1200,78726,1
CONTRIBUTE DELINQUENCY MINOR,3310,78729,1
THEFT-NO SUSPECT/FOLLOWUP,600,78728,1
BAIL JUMPING/FAIL TO APPEAR,2715,78744,1
EXPIRED - DEADLY ASSAULT,404,78701,1
DESECRATION VENERATED OBJECT,2413,78721,1
FORGERY- CERTIFICATE OF TITLE,1008,78742,1
CRIMINAL SOLICITATION OF MINOR,3003,78731,1
HARBORING RUNAWAY CHILD,2005,78759,1
TAKE WEAPON FRM POLICE OFFICER,409,78752,1
CONTROLLED SUB VIOL - OTHER,1814,78749,1
COUNTERFEITING,1006,78739,1
DESERTION,4203,78744,1
ROBBERY BY ASSAULT,303,78739,1
FAIL DISPLAY HANDGUN LICENSE,1506,78748,1
POSS CONTROLLED SUB/SYN NARC,1801,78728,1
VOCO - ALCOHOL  CONSUMPTION,3211,78733,1
POSS CRIMINAL INSTRUMENT,2720,78749,1
CRIM NEG HOMICIDE/NON TRAFFIC,103,78702,1
FRAUD - OTHER,1199,78664,1
ASSAULT ON PEACE OFFICER,903,78653,1
DOC UNREASONABLE NOISE,2405,78660,1
VIOL CITY ORDINANCE - SMOKING,3297,78727,1
UNLAWFUL CARRY-LIC HOLDER,1507,78652,1
BREACH OF COMPUTER SECURITY,1109,78653,1
ATT AUTO THEFT,701,78750,1
DOC DISCHARGE GUN - PUB ROAD,2410,78717,1
POSSESSION OF MARIJUANA,1803,78620,1
TRAFFICKING OF PERSONS,4199,78728,1
PROBATION VIOL,3114,78717,1
FALSE CALLER ID DISPLAY/SPOOF,2736,78757,1
DEL OF DANG DRUG,1811,78745,1
COMPELLING PROSTITUTION,1603,78660,1
FICTITIOUS NAME,3205,78745,1
POSS CONTROLLED SUB/SYN NARC,1801,78726,1
HAZING,3301,78703,1
ATT BURGLARY OF RESIDENCE,501,78730,1
PAROLE VIOL,3113,78739,1
THEFT BY EXTORTION,2718,78721,1
FORGERY BY ALTERATION,1001,78719,1
ASSAULT WITH INJURY,900,78681,1
FRAUD FILING FINANCE STATEMENT,1010,78721,1
CRIMINAL MISCHIEF BY ARSON,802,78736,1
DISRUPTIVE ACTS AT SCHOOLS,3303,78735,1
MURDER,100,78613,1
CRASH/INTOX MANSLAUGHTER,108,78750,1
INTERFERENCE PUBLIC DUTIES,3397,78681,1
EXPIRED-INJURY CHILD - ELDERLY,2000,78722,1
UNLAWFUL CARRY-LIC HOLDER,1507,78754,1
JUSTIFIED HOMICIDE,107,78751,1
VIOL OF BOND CONDITIONS,3006,78728,1
TRADEMARK COUNTERFEITING,1111,78719,1
CUSTODY ARREST TRAFFIC WARR,3722,78612,1
ASSAULT OF PREGNANT WM-FAM/DAT,911,78705,1
TOBACCO VIOL - AGE 17,2608,78613,1
ARSON,800,78613,1
AGG ASSAULT ON PUBLIC SERVANT,403,78717,1
MANF CONTROLLED SUB- SYN NARC,1819,78751,1
BESTIALITY,8905,78741,1
HARASSMENT ONLINE,2732,78653,1
RESISTING ARREST OR SEARCH,905,78728,1
EVADING VEHICLE,2724,78681,1
FALSE CALLER ID DISPLAY/SPOOF,2736,78746,1
FORGERY BY MAKING,1003,78719,1
FRAUD - OTHER,1199,78641,1
WARRANT ARREST NON TRAFFIC,3442,78734,1
FORGERY- CERTIFICATE OF TITLE,1008,78729,1
FICTITIOUS NAME,3205,78744,1
SECURING EXEC-DOC BY DECEPTION,1009,78736,1
GAMBLING,1900,78703,1
PURSE SNATCHING,606,78735,1
FAIL TO REGISTER - ADULT VIC,8177,78702,1
MAIL THEFT,8503,78610,1
ASSAULT W/INJURY-FAM/DATE VIOL,900,76574,1
DEL CONTROLLED SUB/OTHER,1806,78735,1
ILLUMIN AIRCRAFT INTENSE LIGHT,2099,78750,1
VIOL STAY AWAY ORDER,3021,78757,1
CONTROLLED SUB VIOL - OTHER,1814,78705,1
DANG DRUG VIOL - OTHER,1815,78752,1
JUSTIFIED HOMICIDE,107,78727,1
INDECENT EXPOSURE,1706,78681,1
INJURY TO CHILD (CARE/CUSTODY),2011,78732,1
SMUGGLING ILLEGAL ALIEN,4204,78751,1
ASSAULT - SCHOOL PERSONNEL,906,78726,1
TOBACCO VIOL - UNDER AGE 21,2607,78744,1
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78750,1
DEL MARIJUANA,1807,78681,1
SALE OR PURCHASE OF CHILD,2004,78704,1
DOC OFFENSIVE GESTURE,2402,78728,1
EXP-VIOL CITY ORDINANCE - TAXI,3209,78702,1
ONLINE SOLICITATION OF A MINOR,2612,78719,1
VOCO - ALCOHOL  CONSUMPTION,3211,78739,1
DEL CONTROLLED SUB/OTHER,1806,78722,1
THEFT BY FALSE PRETEXT/BUNCO,1102,78729,1
RETALIATION,3104,78660,1
OBTAIN DANG DRUG BY FRAUD,1812,78746,1
PROBATION VIOL,3114,78722,1
MAKING TOBACCO AVAIL TO MINOR,2606,78736,1
TAMPERING WITH WITNESS,3103,78759,1
ASSAULT OF A PREGNANT WOMAN,911,78759,1
TERRORISTIC THREAT,2704,78734,1
BANK KITING,1104,78745,1
FORGERY OF IDENTIFICATION,1004,78731,1
PROMOTION OF PROSTITUTION,1601,78722,1
PUBLIC LEWDNESS,1705,78726,1
EXPIRED-ATT OBT CONT SUB FRAUD,1809,78731,1
FELONY ENHANCEMENT/ASSLT W/INJ,909,78664,1
FICTITIOUS NAME,3205,78741,1
ATTACK BY DOG,3435,78744,1
ASSAULT ON PUBLIC SERVANT,903,78730,1
BURGLARY NON RESIDENCE,502,78681,1
PIGEON DROP,1198,78719,1
CRASH/MURDER,100,78723,1
STALKING,2710,78738,1
AGG ASSAULT FAM/DATE VIOLENCE,402,78652,1
ROBBERY BY ASSAULT,303,78730,1
POSS OF DRUG PARAPHERNALIA,1818,78737,1
VIOL GLASS CONTAINER,3210,78745,1
APPLIC TO REVOKE PROBATION,4003,78736,1
THEFT FROM PERSON,610,78653,1
VIOL CITY ORDINANCE - TITLE 10,3298,78723,1
CRIMINAL SOLICITATION,3002,78617,1
HINDER SECURED CREDITORS,2907,78747,1
CRASH/FAIL STOP AND RENDER AID,3604,78737,1
ATT BURGLARY NON RESIDENCE,503,78736,1
FORGERY- CERTIFICATE OF TITLE,1008,78617,1
VIOL STAY AWAY ORDER,3021,78724,1
DUI - AGE 17 TO 20,2107,78660,1
NUISANCE ABATEMENT,1824,78731,1
DEL CONTROLLED SUB/OTHER,1806,78705,1
HINDERING APPREHENSION,2709,78617,1
CRASH/MANSLAUGHTER,102,78726,1
DOC WINDOW PEEPING - HOTEL,2417,78721,1
BANK KITING,1104,78741,1
OBTAIN CONTROLLED SUB BY FRAUD,1808,78719,1
ESCAPE FROM CUSTODY,2711,78725,1
CRIMES AGAINST ELDERLY,4111,78756,1
COMMERCIAL BRIBERY,3116,78759,1
THEFT FROM AUTO,603,78610,1
DAMAGE CITY VEHICLE,3832,78730,1
FRAUD-CARD SKIMMER,1112,78747,1
THEFT BY PUBLIC SERVANT,1202,78745,1
AGG KIDNAPPING FAM VIO,2801,78704,1
DOC ABUSE OR THREAT,2404,78719,1
POSS/PROMO CHILD PORNOGRAPHY,2605,78732,1
OBTAIN DANG DRUG BY FRAUD,1812,78721,1
OBSCENE DISPLAY - DISTRIBUTION,2600,78724,1
FRAUD FILING FINANCE STATEMENT,1010,78729,1
DOC ABUSE OR THREAT,2404,78747,1
HINDERING APPREHENSION,2709,78733,1
INJ/CHILD FV (NO CARE/CUSTODY),2011,78742,1
AGG ASSAULT,402,78610,1
CONTEMPT OF COURT,3112,78729,1
